team,elo,date
Mexico,1890,2025-12-01
Canada,1750,2025-12-01
Brazil,2100,2025-12-01
United States,1880,2025-12-01
Germany,2040,2025-12-01
Netherlands,1970,2025-12-01
Belgium,1885,2025-12-01
Spain,2000,2025-12-01
France,2045,2025-12-01
Argentina,2060,2025-12-01
Portugal,1975,2025-12-01
England,2005,2025-12-01
South Africa,1600,2025-12-01
Switzerland,1850,2025-12-01
Morocco,1820,2025-12-01
Paraguay,1680,2025-12-01
Côte d’Ivoire,1760,2025-12-01
Japan,1860,2025-12-01
Egypt,1700,2025-12-01
Uruguay,1870,2025-12-01
Senegal,1830,2025-12-01
Austria,1800,2025-12-01
Colombia,1790,2025-12-01
Croatia,1855,2025-12-01
South Korea,1755,2025-12-01
Qatar,1500,2025-12-01
Scotland,1705,2025-12-01
Australia,1720,2025-12-01
Ecuador,1780,2025-12-01
Tunisia,1670,2025-12-01
Iran,1650,2025-12-01
Saudi Arabia,1700,2025-12-01
Norway,1715,2025-12-01
Algeria,1655,2025-12-01
Uzbekistan,1505,2025-12-01
Ghana,1600,2025-12-01
Haiti,1400,2025-12-01
Curaçao,1550,2025-12-01
New Zealand,1580,2025-12-01
Cape_Verde,1520,2025-12-01
Jordan,1480,2025-12-01
