Nation_code,n_players,top11_mean,top3_mean,depth12_23_mean,player_based_score
FRA,187,50.831596544068155,59.59127219245719,41.8750151910733,50.7823701179167
GER,157,49.19483347310867,60.86336987687637,38.75799793463908,49.50275868943319
ESP,226,50.39680056338643,54.16545434329132,41.43934390649601,49.09959984414005
ENG,113,47.94213934443307,55.77562880285486,36.76814119836961,47.10701217252266
BRA,70,43.23513312448071,52.83724454691846,33.99718536880163,43.32617404117038
NED,43,43.760824468335066,57.90032350437273,25.11533358563548,42.63432650666959
POR,41,42.374853563462416,47.66548368701033,30.69801705062645,40.778301966140404
BEL,31,37.980329912399625,59.41695007569884,20.784837392968907,39.04061182336675
MAR,21,39.67593677931813,56.67716755442928,12.503362052275452,37.13310079133525
ARG,45,36.69894218680778,42.01480391391626,27.26012651991829,35.668203701862524
AUT,24,35.0116427338712,45.64620584590128,19.446863512193307,33.77908870645925
CRO,20,34.83591915299866,46.295348774575814,15.61606040408727,32.8958118711651
JPN,12,34.67250544977049,46.575230413275456,9.682542372881356,31.40069592142445
SCO,13,31.402633537327606,45.250179222064425,15.638839696949471,30.923571498417278
SUI,25,31.492108696578512,41.620303125821444,13.88245135676022,29.62174296893467
SEN,19,30.115867763092798,38.35650102382194,14.948179053981793,28.38410390099733
URU,19,30.004532481198513,37.109728433951354,14.81604310376276,27.983709125027787
CIV,18,30.284728746299052,36.796610822907404,13.70526838011506,27.767834173905143
GHA,19,28.59034635576701,37.1063769155107,12.390327349457566,26.669349244125574
NOR,15,27.555842226242905,40.7763423865787,9.320203526161846,26.30205759130659
USA,19,29.04761298907596,36.4166204829039,9.712018252032895,26.05596617827218
COL,13,25.15535316729821,34.7946752358538,7.44261208576998,23.13699841405505
ALG,12,27.9215509503496,34.22647361647362,-0.09036144578313252,22.494803517847423
CAN,3,30.50445563904398,30.50445563904398,,
CPV,1,18.139183673469386,18.139183673469386,,
ECU,4,29.993415492082434,34.695867120756375,,
EGY,3,30.48951790221072,30.48951790221072,,
HAI,2,19.05715883668904,19.05715883668904,,
JOR,1,30.017757009345797,30.017757009345797,,
KOR,6,26.37549530206663,33.13844907105252,,
MEX,6,14.223637546740099,20.27519550361166,,
NZL,2,20.393708345067118,20.393708345067118,,
PAN,1,25.78486486486487,25.78486486486487,,
PAR,3,21.34851745057382,21.34851745057382,,
RSA,1,20.340805687203787,20.340805687203787,,
TUN,5,21.683706890059756,25.29634553655625,,
UZB,1,18.463076923076922,18.463076923076922,,
