Nation_code,n_players,minutes90_sum,score_mean,score_median,score_top1,score_wavg_by_minutes,best_player,best_player_pos_group,best_player_90s,best_player_score,robust_z_mean,robust_z_median
JPN,12,248.1,32.5900085266964,33.545392156862746,53.12151515151515,32.85250302297461,Kaoru Mitoma,FWD,16.5,53.12151515151515,4.98860526738925,7.617588874581463
EGY,3,76.0,30.48951790221072,27.6646875,46.91936170212766,31.660236842105263,Mohamed Salah,FWD,28.2,46.91936170212766,10.114229889874592,6.698394642926204
CAN,3,72.4,30.504455639043982,26.169794520547946,50.198646288209616,30.67885359116023,Alphonso Davies,DEF,22.9,50.198646288209616,8.436837759193985,8.590494662493319
JOR,1,21.4,30.017757009345797,30.017757009345797,30.017757009345797,30.017757009345797,Musa Al-Taamari,FWD,21.4,30.017757009345797,-0.6947307970450518,-0.6947307970450518
SCO,13,252.5,28.977434484961744,29.242414860681116,54.091914893617016,29.318534653465353,Andrew Robertson,DEF,18.8,54.091914893617016,2.472813875290172,0.4494547198928217
KOR,6,141.3,26.375495302066625,20.732961235791315,39.67119631901841,26.674593064401982,Son Heung-min,FWD,32.6,39.67119631901841,0.9368194351735755,-2.12898307974488
AUT,24,527.4,26.0952639107603,25.50429177641206,53.50945945945946,26.655282518012893,Kevin Stöger,MID,29.6,53.50945945945946,1.2194184972261561,-0.020669713919128307
PAN,1,11.1,25.78486486486487,25.78486486486487,25.78486486486487,25.78486486486487,Michael Amir Murillo,DEF,11.1,25.78486486486487,8.904623643082449,8.904623643082449
ECU,4,95.1,29.99341549208243,27.918076043453404,48.25144927536232,25.68656151419559,Pervis Estupiñán,DEF,13.8,48.25144927536232,7.737403721806342,4.935528134401253
CRO,20,435.7,26.186982715988528,25.23176684881603,55.411489361702124,25.38988524213909,Luka Modrić,MID,18.8,55.411489361702124,1.2540120568101298,-1.3412014568494608
MAR,21,405.6,26.736615480726375,23.186923076923073,75.42302325581396,24.891166173570017,Achraf Hakimi,DEF,21.5,75.42302325581396,-0.0014162330116014523,-1.8276566962699112
NOR,15,337.0,22.693005239554623,22.295631768953065,58.21597667638485,24.334480712166176,Martin Ødegaard,MID,34.3,58.21597667638485,1.9777959383095995,-0.1747573708777178
FRA,187,3922.2,24.96819454692449,24.850303030303028,67.75065868263474,24.199647391769926,Ousmane Dembélé,FWD,16.7,67.75065868263474,-0.15383856555000935,-0.8816025657279717
URU,19,364.7,23.6093790591203,23.45167883211679,42.066315789473684,24.167721414861532,Federico Valverde,MID,32.3,42.066315789473684,-1.2060003690060284,-1.4413811552927216
ALG,12,240.7,25.587224917338535,28.16306893643934,40.21,24.121794765267975,Ramy Bensebaini,DEF,11.5,40.21,-0.406394635788616,0.9119192067621615
CIV,18,363.5,23.837160826116392,25.23528594771242,39.55109489051095,24.030408528198073,Guela Doué,DEF,13.7,39.55109489051095,-0.3460435522335661,0.6144534874909382
NED,43,965.8,24.78701511935018,22.42577181208054,67.47,24.024994822944706,Jeremie Frimpong,DEF,25.0,67.47,2.444371262349407,-0.9082830752207349
BRA,70,1586.0,24.52656830255333,24.138195167405694,57.91086580086579,23.84798581336696,Samuel Lino,MID,23.1,57.91086580086579,-0.5446586482824192,-1.0672998466889816
ESP,226,4889.8,24.056718217207546,24.454115911154567,56.031176470588235,23.360856681254855,Rodrigo Riquelme,MID,17.0,56.031176470588235,-0.37198873789393766,-0.985092462468593
POR,41,942.4,24.85385054838735,24.642634560906515,49.300303030303034,23.287903225806453,Raphaël Guerreiro,MID,13.2,49.300303030303034,2.6602388511789856,1.0498091545716468
GHA,19,341.2,21.769285721531457,21.39507936507937,42.218235294117655,23.251573856975376,Ernest Nuamah,FWD,20.4,42.218235294117655,-7.038704780484781,-9.189574057712223
ENG,113,2535.6,23.2995997804931,22.278636363636362,58.00206751054852,23.022706854393434,James Maddison,MID,23.7,58.00206751054852,0.309520580812671,-1.1676426026834648
COL,13,262.9,22.430316077832327,23.332727272727272,40.4654794520548,22.623328261696468,Luis Díaz,FWD,29.2,40.4654794520548,-0.723921102308185,-1.7712086300319267
SEN,19,370.7,23.729472517151322,22.228947368421053,43.48343558282208,22.53049770704073,Ismail Jakobs,DEF,16.3,43.48343558282208,-3.2755821036404043,-4.392359865412806
ARG,45,1056.8,22.607411666160626,22.941711229946527,44.29411255411255,22.331046082513247,Rodrigo De Paul,MID,23.1,44.29411255411255,-0.4974721169552801,-0.4285539817207558
USA,19,396.0,20.906309941899934,23.201612903225804,38.27411764705882,21.90634343434343,Christian Pulisic,FWD,28.9,38.27411764705882,-4.431501327374084,-8.405950538809162
BEL,31,631.4,22.937810585955248,23.617894736842107,69.75411764705883,21.700342888818504,Kevin De Bruyne,MID,13.6,69.75411764705883,-0.16578138795594818,-0.6873200911034407
GER,157,3363.9,22.311879603354843,22.463333333333335,79.41545454545455,21.52923942447754,Florian Wirtz,MID,26.4,79.41545454545455,0.21014938470372388,-0.8850987550853361
PAR,3,69.6,21.34851745057382,17.34242616033755,30.878372093023252,20.99173132183908,Miguel Almirón,FWD,21.5,30.878372093023252,-6.1399207965557965,-6.870861269684169
NZL,2,41.3,20.393708345067118,20.393708345067118,24.47811320754717,20.502493946731235,Liberato Cacace,DEF,21.2,24.47811320754717,2.614303726664755,2.614303726664755
RSA,1,21.1,20.340805687203787,20.340805687203787,20.340805687203787,20.340805687203787,Lyle Foster,FWD,21.1,20.340805687203787,-7.945929604061076,-7.945929604061076
TUN,5,86.5,21.683706890059753,22.081791044776118,31.476134453781512,20.129086705202315,Aïssa Laïdouni,MID,11.9,31.476134453781512,-6.572886598108075,-8.270615038926644
SUI,25,597.0,20.517407094603687,20.481843317972352,48.83281150159745,19.421353433835847,Granit Xhaka,MID,31.3,48.83281150159745,-2.2193590833027113,-2.574707111072147
HAI,2,44.8,19.05715883668904,19.05715883668904,20.70666666666667,18.512232142857144,Jean-Kevin Duverne,DEF,15.0,20.70666666666667,-9.43925496163472,-9.43925496163472
UZB,1,10.4,18.463076923076922,18.463076923076922,18.463076923076922,18.463076923076922,Eldor Shomurodov,FWD,10.4,18.463076923076922,-0.705033198151118,-0.705033198151118
CPV,1,29.4,18.139183673469386,18.139183673469386,18.139183673469386,18.139183673469386,Logan Costa,DEF,29.4,18.139183673469386,-3.464512278720075,-3.464512278720075
MEX,6,130.7,14.223637546740095,15.857603001625083,26.598024691358024,13.868500382555471,Julian Araujo,DEF,16.2,26.598024691358024,-6.589682280602189,-7.109532931939175
